VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
0.25,3.0,0.0,1.0,0.0081,4.6e-13,6.3684e-08,-6.3508e-08
0.3,3.0,0.0,1.0,0.01316,-5.67e-12,1.02527e-07,-1.02596e-07
0.35,3.0,0.0,1.0,0.01968,-2e-12,1.5246e-07,-1.5239e-07
0.4,3.0,0.0,1.0,0.02768,-3.02e-12,2.1273e-07,-2.1257e-07
0.45,3.0,0.0,1.0,0.03732,7.7e-13,2.8458e-07,-2.8473e-07
0.5,3.0,0.0,1.0,0.04864,1.18e-12,3.6685e-07,-3.6666e-07
0.55,3.0,0.0,1.0,0.06126,1.89e-12,4.5696e-07,-4.5709e-07
0.6,3.0,0.0,1.0,0.07562,-1.23e-12,5.5706e-07,-5.5683e-07
0.65,3.0,0.0,1.0,0.09134,-8.8e-13,6.6281e-07,-6.6285e-07
0.7,3.0,0.0,1.0,0.1088,2.31e-12,7.7679e-07,-7.7684e-07
0.75,3.0,0.0,1.0,0.1277,-2.04e-12,8.9607e-07,-8.9608e-07
0.8,3.0,0.0,1.0,0.14782,-2.52e-12,1.01731e-06,-1.01759e-06
0.85,3.0,0.0,1.0,0.16964,2.42e-12,1.1441e-06,-1.1438e-06
0.9,3.0,0.0,1.0,0.19296,-8.5e-13,1.2723e-06,-1.2721e-06
0.95,3.0,0.0,1.0,0.21728,-4.88e-12,1.3998e-06,-1.3994e-06
1.0,3.0,0.0,1.0,0.24352,-3.15e-12,1.5289e-06,-1.5289e-06
1.05,3.0,0.0,1.0,0.27108,1.65e-12,1.6565e-06,-1.6559e-06
1.1,3.0,0.0,1.0,0.29978,4.3e-13,1.7796e-06,-1.7794e-06
1.15,3.0,0.0,1.0,0.3301,1.6e-12,1.9012e-06,-1.9006e-06
1.2,3.0,0.0,1.0,0.3617,3.49e-12,2.0162e-06,-2.0157e-06
1.25,3.0,0.0,1.0,0.39502,4.5e-12,2.1271e-06,-2.1265e-06
1.3,3.0,0.0,1.0,0.43004,-2.62e-12,2.2314e-06,-2.2313e-06
1.35,3.0,0.0,1.0,0.4657,-5.95e-12,2.3265e-06,-2.3259e-06
1.4,3.0,0.0,1.0,0.5037,-1.42e-12,2.4147e-06,-2.4145e-06
